2014-07-07 13:38:48,233 | INFO  | Listening for connections at ws://NDW1298:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-07-07 13:38:48,234 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 13:38:48,239 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-57459-1404736727870-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:38:48,241 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-07-07 13:38:48,727 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-07-07 13:38:48,812 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-07-07 13:38:49,116 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-07-07 14:15:58,271 | WARN  | Transport Connection to: tcp://127.0.0.1:57464 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57464@61616
2014-07-07 14:16:41,413 | WARN  | Transport Connection to: tcp://127.0.0.1:61978 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61978@61616
2014-07-07 14:16:41,913 | WARN  | Transport Connection to: tcp://127.0.0.1:62048 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62048@61616
2014-07-07 14:16:42,414 | WARN  | Transport Connection to: tcp://127.0.0.1:62062 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62062@61616
2014-07-07 14:23:38,257 | WARN  | Transport Connection to: tcp://127.0.0.1:62112 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62112@61616
2014-07-07 14:49:35,164 | WARN  | Transport Connection to: tcp://127.0.0.1:62872 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62872@61616
2014-07-07 14:53:03,621 | WARN  | Transport Connection to: tcp://127.0.0.1:49701 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49701@61616
2014-07-07 14:54:10,996 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3589193f: startup date [Mon Jul 07 14:54:10 BST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-07-07 14:54:12,296 | INFO  | PListStore:[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-07-07 14:54:12,335 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Instrument\Apps\EPICS\ISIS\pyocLogServer\ActiveMQ\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-07-07 14:54:12,998 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 14:54:13,029 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 14:54:13,083 | INFO  | Recovery replayed 897 operations from the journal in 0.067 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-07-07 14:54:13,251 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-49959-1404741253115-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-07-07 14:54:13,278 | INFO  | Listening for connections at: tcp://NDW1298:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 14:54:13,283 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 14:54:13,291 | INFO  | Listening for connections at: amqp://NDW1298:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 14:54:13,297 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 14:54:13,306 | INFO  | Listening for connections at: stomp://NDW1298:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 14:54:13,314 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 14:54:13,322 | INFO  | Listening for connections at: mqtt://NDW1298:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-07-07 14:54:13,327 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-07-07 14:54:13,476 | INFO  | Listening for connections at ws://NDW1298:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-07-07 14:54:13,477 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
